OnStarts_MeanPathDistance,Outer_iter,Outer_MeanRewards,OnStarts_FeasibilityRate,GenGoal_frac_Other,GenGoal_frac_High rewards,OnStarts_AvgFinalGoalDistance,OnStarts_MinFinalGoalDistance,GenGoal_frac_Performance Variation,OnStarts_AvgInitGoalDistance,GenGoal_frac_Good goals,OnStarts_AvgTotalRewardDist,GenGoal_frac_Low rewards,Outer_Success,OnStarts_AvgTotalRewardInner,OnStarts_SuccessRate
0.469958218984,1,0.0232843137255,1.0,0.0,0.853535353535,0.576914389798,0.0100157225145,0.0,0.173977561546,0.141414141414,0.0,0.00505050505051,0.0232843137255,0.0,0.926060166727
0.752207495411,2,0.1875,1.0,0.0,0.802955665025,0.642772672188,0.0101323094834,0.0,0.229956883591,0.197044334975,0.0,0.0,0.1875,0.0,0.933936651584
0.684583425738,3,0.428921568627,1.0,0.0,0.926829268293,0.255709304665,0.0202421246261,0.0,0.272582927222,0.0731707317073,0.0,0.0,0.428921568627,0.0,0.993016759777
0.368499274729,4,0.487745098039,1.0,0.0,0.995169082126,0.220736815792,0.0120809645918,0.0,0.325268259703,0.0048309178744,0.0,0.0,0.487745098039,0.0,0.999835228209
0.32031764721,5,0.275735294118,1.0,0.0,1.0,0.241209396402,0.0384713032812,0.0,0.364117705197,0.0,0.0,0.0,0.275735294118,0.0,1.0
0.361281745791,6,0.287990196078,1.0,0.0,1.0,0.263071963593,0.0259323112655,0.0,0.42042307261,0.0,0.0,0.0,0.287990196078,0.0,1.0
0.355272757931,7,0.28431372549,1.0,0.0,1.0,0.257388885271,0.0152493957961,0.0,0.414092885801,0.0,0.0,0.0,0.28431372549,0.0,1.0
0.356643382979,8,0.300245098039,1.0,0.0,1.0,0.257046335066,0.0218169926187,0.0,0.416289937651,0.0,0.0,0.0,0.300245098039,0.0,1.0
0.384935927228,9,0.297794117647,1.0,0.0,1.0,0.265877973155,0.0355233987367,0.0,0.456003050587,0.0,0.0,0.0,0.297794117647,0.0,1.0
0.407245994734,10,0.294117647059,1.0,0.0,1.0,0.272321732788,0.0434959198518,0.0,0.487327432515,0.0,0.0,0.0,0.294117647059,0.0,1.0
0.418090105178,11,0.283088235294,1.0,0.0,1.0,0.272615753804,0.0630919474031,0.0,0.50394156007,0.0,0.0,0.0,0.283088235294,0.0,1.0
0.427480617517,12,0.276960784314,1.0,0.0,1.0,0.275141952082,0.0690143271489,0.0,0.516854123899,0.0,0.0,0.0,0.276960784314,0.0,1.0
0.435254562731,13,0.273284313725,1.0,0.0,1.0,0.276198982272,0.0313002004381,0.0,0.528476966032,0.0,0.0,0.0,0.273284313725,0.0,1.0
0.421519907372,14,0.275735294118,1.0,0.0,1.0,0.275125385353,0.0737763514637,0.0,0.507249945608,0.0,0.0,0.0,0.275735294118,0.0,1.0
0.442105333936,15,0.270833333333,1.0,0.0,1.0,0.274665075897,0.0180751801325,0.0,0.540199695006,0.0,0.0,0.0,0.270833333333,0.0,1.0
0.465302244572,16,0.276960784314,1.0,0.0,1.0,0.272612470033,0.0212825634874,0.0,0.577616538682,0.0,0.0,0.0,0.276960784314,0.0,1.0
0.430554961416,17,0.28431372549,1.0,0.0,1.0,0.271312446134,0.0620323311313,0.0,0.523368758483,0.0,0.0,0.0,0.28431372549,0.0,1.0
0.428500720936,18,0.285539215686,1.0,0.0,1.0,0.265545476072,0.0384760800829,0.0,0.523303679025,0.0,0.0,0.0,0.285539215686,0.0,1.0
0.442335957671,19,0.285539215686,1.0,0.0,1.0,0.271381234224,0.049664576644,0.0,0.541557234103,0.0,0.0,0.0,0.285539215686,0.0,1.0
0.438295421756,20,0.299019607843,1.0,0.0,1.0,0.269111894777,0.0428478540566,0.0,0.537044607579,0.0,0.0,0.0,0.299019607843,0.0,1.0
0.448046256659,21,0.292892156863,1.0,0.0,1.0,0.267119502084,0.0211918881756,0.0,0.553309052049,0.0,0.0,0.0,0.292892156863,0.0,1.0
0.460095158704,22,0.285539215686,1.0,0.0,1.0,0.268459878373,0.0152652462642,0.0,0.571595088564,0.0,0.0,0.0,0.285539215686,0.0,1.0
0.489475140543,23,0.285539215686,1.0,0.0,1.0,0.270292582997,0.056938086933,0.0,0.6165254784,0.0,0.0,0.0,0.285539215686,0.0,1.0
0.51530598616,24,0.281862745098,1.0,0.0,1.0,0.274105951273,0.0662052771289,0.0,0.654736469404,0.0,0.0,0.0,0.281862745098,0.0,1.0
0.512450853155,25,0.283088235294,1.0,0.0,1.0,0.268053310244,0.0689404498773,0.0,0.653670524905,0.0,0.0,0.0,0.283088235294,0.0,1.0
0.504958234284,26,0.283088235294,1.0,0.0,1.0,0.269511516563,0.031249581336,0.0,0.640617684487,0.0,0.0,0.0,0.283088235294,0.0,1.0
