Outer_iter,OnStarts_AvgTotalRewardInner,OnStarts_MeanPathDistance,OnStarts_AvgTotalRewardDist,GenGoal_frac_High rewards,OnStarts_MinFinalGoalDistance,GenGoal_frac_Other,OnStarts_FeasibilityRate,GenGoal_frac_Low rewards,Outer_Success,GenGoal_frac_Performance Variation,OnStarts_SuccessRate,GenGoal_frac_Good goals,OnStarts_AvgFinalGoalDistance,OnStarts_AvgInitGoalDistance,Outer_MeanRewards
1,0.0,0.394708367453,0.0,0.812182741117,0.0105951657997,0.0,1.0,0.0,0.0343137254902,0.0,0.917220008853,0.187817258883,0.541440872063,0.190776840588,0.0343137254902
2,0.0,1.94843947134,0.0,0.424657534247,0.0882999283073,0.0,1.0,0.130136986301,0.094362745098,0.0,0.615087040619,0.445205479452,2.54003714507,0.44718444293,0.094362745098
3,0.0,1.02045995739,0.0,0.632653061224,0.144193590789,0.0,1.0,0.0,0.251225490196,0.0,0.889690721649,0.367346938776,0.86679064658,0.512736778205,0.251225490196
4,0.0,0.595853823084,0.0,0.971428571429,0.212857642808,0.0,1.0,0.0,0.258578431373,0.0,0.996334758705,0.0285714285714,0.310728431953,0.607389112717,0.258578431373
5,0.0,0.479630364383,0.0,1.0,0.113957993113,0.0,1.0,0.0,0.254901960784,0.0,1.0,0.0,0.287866744531,0.601177589675,0.254901960784
6,0.0,2.57029665588,0.0,0.744444444444,0.101265056934,0.0,1.0,0.244444444444,0.241421568627,0.0,0.797965116279,0.0111111111111,1.50912760667,3.64673064264,0.241421568627
7,0.0,5.7777866149,0.0,0.455445544554,0.234707835277,0.0,1.0,0.544554455446,0.269607843137,0.0,0.457971014493,0.0,4.18214436629,7.06492495588,0.269607843137
8,0.0,1.13891394071,0.0,0.947368421053,0.0870149288702,0.0,1.0,0.0,0.290441176471,0.0,0.969818913481,0.0526315789474,0.470210870357,1.53923698566,0.290441176471
9,0.0,4.60215228201,0.0,1.0,0.224296727233,0.0,1.0,0.0,0.291666666667,0.0,1.0,0.0,0.271557853002,7.1655272533,0.291666666667
10,0.0,4.46832359053,0.0,0.446428571429,0.21907910791,0.0,1.0,0.553571428571,0.294117647059,0.0,0.450127877238,0.0,3.62803688808,5.61446703339,0.294117647059
11,0.0,0.950980317311,0.0,1.0,0.040585933235,0.0,1.0,0.0,0.295343137255,0.0,1.0,0.0,0.28287407874,1.36399550453,0.295343137255
12,0.0,1.62319548769,0.0,0.952830188679,0.0221127307995,0.0,1.0,0.0471698113208,0.292892156863,0.0,0.947460595447,0.0,0.648741260335,2.27929015995,0.292892156863
13,0.0,6.04834031192,0.0,0.415094339623,0.203011352193,0.0,1.0,0.556603773585,0.285539215686,0.0,0.425414364641,0.0283018867925,4.09409097247,7.95278748544,0.285539215686
14,0.0,5.28565248234,0.0,0.910526315789,0.174452871558,0.0,1.0,0.0,0.302696078431,0.0,0.981481481481,0.0894736842105,0.375133248816,8.2406811024,0.302696078431
15,0.0,5.01327867594,0.0,0.956310679612,0.104570593475,0.0,1.0,0.00485436893204,0.311274509804,0.0,0.984236453202,0.0388349514563,0.353663588665,7.73643934301,0.311274509804
16,0.0,5.20532589826,0.0,0.933673469388,0.180306362057,0.0,1.0,0.0,0.314950980392,0.0,0.973572938689,0.0663265306122,0.434971342949,7.98582213663,0.314950980392
17,0.0,5.29142246218,0.0,0.840909090909,0.181299058347,0.0,1.0,0.0568181818182,0.316176470588,0.0,0.901269393512,0.102272727273,0.913683601231,7.81099932854,0.316176470588
18,0.0,5.13380593145,0.0,0.89247311828,0.183015780749,0.0,1.0,0.0268817204301,0.361519607843,0.0,0.950067476383,0.0806451612903,0.558102065764,7.62327037084,0.361519607843
19,0.0,5.4253648654,0.0,0.988439306358,0.180014022179,0.0,1.0,0.0,0.425245098039,0.0,0.995461422088,0.0115606936416,0.258162386502,7.71399892287,0.425245098039
20,0.0,5.41591496633,0.0,1.0,0.180447637564,0.0,1.0,0.0,0.432598039216,0.0,1.0,0.0,0.248245294911,7.53402770255,0.432598039216
21,0.0,5.04387592656,0.0,0.819277108434,0.128281696804,0.0,1.0,0.168674698795,0.427696078431,0.0,0.816876122083,0.0120481927711,1.29397449374,7.10753581537,0.427696078431
22,0.0,7.51744117404,0.0,0.397058823529,0.190424042014,0.0,1.0,0.529411764706,0.43137254902,0.0,0.435606060606,0.0735294117647,2.67111854074,11.0107674252,0.43137254902
23,0.0,7.48927883265,0.0,0.485294117647,0.178823485656,0.0,1.0,0.352941176471,0.334558823529,0.0,0.521072796935,0.161764705882,2.32609023866,10.9513123918,0.334558823529
24,0.0,6.18063694806,0.0,0.452054794521,0.177011557993,0.0,1.0,0.246575342466,0.389705882353,0.0,0.571428571429,0.301369863014,1.56488102536,8.68901394029,0.389705882353
25,0.0,5.09227647418,0.0,0.614583333333,0.176344184467,0.0,1.0,0.21875,0.438725490196,0.0,0.712121212121,0.166666666667,1.27794174778,7.03178623762,0.438725490196
26,0.0,5.06471808049,0.0,0.8,0.176894826081,0.0,1.0,0.121739130435,0.44362745098,0.0,0.843989769821,0.0782608695652,0.776210748386,7.43819056552,0.44362745098
27,0.0,7.35524333617,0.0,0.676056338028,0.18595668856,0.0,1.0,0.211267605634,0.325980392157,0.0,0.760869565217,0.112676056338,1.02756559349,11.0462471737,0.325980392157
28,0.0,7.43660668154,0.0,0.597222222222,0.182158826461,0.0,1.0,0.277777777778,0.361519607843,0.0,0.674329501916,0.125,1.24675421245,10.969650356,0.361519607843
29,0.0,7.54242712836,0.0,0.846153846154,0.15926045955,0.0,1.0,0.128205128205,0.366421568627,0.0,0.851851851852,0.025641025641,0.680900764268,11.1913916987,0.366421568627
