GenGoal_frac_Other,OnStarts_MeanPathDistance,Outer_iter,OnStarts_AvgInitGoalDistance,GenGoal_frac_Low rewards,GenGoal_frac_Performance Variation,Outer_MeanRewards,OnStarts_AvgFinalGoalDistance,Outer_Success,OnStarts_MinFinalGoalDistance,OnStarts_SuccessRate,GenGoal_frac_Good goals,OnStarts_AvgTotalRewardInner,OnStarts_AvgTotalRewardDist,GenGoal_frac_High rewards,OnStarts_FeasibilityRate
0.0,0.226880665085,1,0.182792272913,0.0,0.0,0.0563725490196,0.221913250363,0.0563725490196,0.0119328398707,0.966428349394,0.175879396985,0.0,0.0,0.824120603015,1.0
0.0,0.281891570887,2,0.236356975091,0.0,0.0,0.0575980392157,0.285482643914,0.0575980392157,0.0123847230576,0.982284505553,0.194174757282,0.0,0.0,0.805825242718,1.0
0.0,0.276034121867,3,0.286562864019,0.0,0.0,0.132352941176,0.230804693345,0.132352941176,0.0145635286577,0.99730458221,0.0541871921182,0.0,0.0,0.945812807882,1.0
0.0,0.303813400989,4,0.341194381136,0.0,0.0,0.34068627451,0.244301868425,0.34068627451,0.0395928085156,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.332025045345,5,0.383560069117,0.0,0.0,0.327205882353,0.253875929263,0.327205882353,0.0390147744606,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.346733076236,6,0.405464040885,0.0,0.0,0.333333333333,0.254951547379,0.333333333333,0.0123918944796,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.372640352981,7,0.44059624232,0.0,0.0,0.325980392157,0.263171341828,0.325980392157,0.041229207798,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.399437056116,8,0.481076798265,0.0,0.0,0.328431372549,0.264716922746,0.328431372549,0.0176707871233,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.411611769375,9,0.498450739415,0.0,0.0,0.371323529412,0.265824251101,0.371323529412,0.0335541146234,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.396308225477,10,0.473829840004,0.0,0.0,0.350490196078,0.266120607045,0.350490196078,0.0947956813986,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.4239487052,11,0.516916255727,0.0,0.0,0.370098039216,0.266733118744,0.370098039216,0.0264053242458,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.42868027943,12,0.521971175527,0.0,0.0,0.334558823529,0.270998156855,0.334558823529,0.0951232146682,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.423059185649,13,0.514872980368,0.0,0.0,0.361519607843,0.268230630064,0.361519607843,0.0235094445186,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.45447094122,14,0.561525929146,0.0,0.0,0.370098039216,0.273553178501,0.370098039216,0.0762737534221,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.457839993351,15,0.566943200543,0.0,0.0,0.372549019608,0.27318002067,0.372549019608,0.092920706416,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.476132576497,16,0.597600626472,0.0,0.0,0.373774509804,0.270748888122,0.373774509804,0.103213173453,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.461952872094,17,0.574597492325,0.0,0.0,0.390931372549,0.270436907066,0.390931372549,0.0267331834097,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.456831378865,18,0.565997309887,0.0,0.0,0.386029411765,0.271651217176,0.386029411765,0.0308309652868,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.460369061658,19,0.567934989962,0.0,0.0,0.389705882353,0.278210758129,0.389705882353,0.122159942669,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.466104939233,20,0.577042187063,0.0,0.0,0.392156862745,0.278690784025,0.392156862745,0.0887192596872,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.472805334351,21,0.588702473529,0.0,0.0,0.392156862745,0.276126004419,0.392156862745,0.0568200379328,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.466675608692,22,0.57794364669,0.0,0.0,0.399509803922,0.277928614888,0.399509803922,0.0879658417679,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.465559495252,23,0.576792922482,0.0,0.0,0.393382352941,0.277153520767,0.393382352941,0.128750025165,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.48430293775,24,0.60628733633,0.0,0.0,0.395833333333,0.276767717746,0.395833333333,0.0184609954405,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.481155987407,25,0.603197071545,0.0,0.0,0.410539215686,0.272471280792,0.410539215686,0.0222470286492,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.481302482848,26,0.60392651097,0.0,0.0,0.392156862745,0.271672807502,0.392156862745,0.0267029269283,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.488061625424,27,0.615014420899,0.0,0.0,0.40318627451,0.270022069955,0.40318627451,0.0702562644636,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.487099293749,28,0.613672018614,0.0,0.0,0.416666666667,0.269045841219,0.416666666667,0.0107573564664,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.464928934903,29,0.582786883691,0.0,0.0,0.419117647059,0.2612742063,0.419117647059,0.0155570361997,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.454534536322,30,0.567200910233,0.0,0.0,0.399509803922,0.260184319917,0.399509803922,0.0157779208361,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.470053928248,31,0.592442523342,0.0,0.0,0.410539215686,0.259798729929,0.410539215686,0.0343265281044,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.47553818629,32,0.600611914835,0.0,0.0,0.415441176471,0.261083978646,0.415441176471,0.0426969796491,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.489009913993,33,0.616847035321,0.0,0.0,0.422794117647,0.2694131892,0.422794117647,0.0422372436643,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.480293634692,34,0.602621354281,0.0,0.0,0.416666666667,0.271530237251,0.416666666667,0.012534507457,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.476291254775,35,0.596800932568,0.0,0.0,0.410539215686,0.270436806064,0.410539215686,0.0461190655451,1.0,0.0,0.0,0.0,1.0,1.0
