OnStarts_FeasibilityRate,Outer_Success,OnStarts_MinFinalGoalDistance,GenGoal_frac_Other,OnStarts_AvgInitGoalDistance,OnStarts_SuccessRate,OnStarts_AvgFinalGoalDistance,GenGoal_frac_High rewards,Outer_MeanRewards,OnStarts_AvgTotalRewardInner,OnStarts_MeanPathDistance,GenGoal_frac_Good goals,OnStarts_AvgTotalRewardDist,GenGoal_frac_Low rewards,Outer_iter,GenGoal_frac_Performance Variation
1.0,0.147058823529,0.0100043108068,0.0,0.195037393158,0.931490852472,0.248339264755,0.821428571429,0.147058823529,0.0,0.250929492772,0.178571428571,0.0,0.0,1,0.0
1.0,0.147058823529,0.111001770927,0.0,0.455946932673,0.865497076023,0.39138481522,0.616279069767,0.147058823529,0.0,0.588842798587,0.383720930233,0.0,0.0,2,0.0
1.0,0.139705882353,0.0578799100589,0.0,0.511287754437,0.979939819458,0.299208416629,0.903553299492,0.139705882353,0.0,0.513814643192,0.0964467005076,0.0,0.0,3,0.0
1.0,0.302696078431,0.144407436203,0.0,0.619728347778,0.994186046512,0.291317555146,0.975609756098,0.302696078431,0.0,0.556007348143,0.0243902439024,0.0,0.0,4,0.0
1.0,0.269607843137,0.256860373557,0.0,0.726096888009,1.0,0.291069735863,1.0,0.269607843137,0.0,0.561357293216,0.0,0.0,0.0,5,0.0
1.0,0.276960784314,0.206262620638,0.0,3.21576340504,0.910367170626,0.929265952136,0.882653061224,0.276960784314,0.0,2.0338626419,0.0204081632653,0.0,0.0969387755102,6,0.0
1.0,0.281862745098,0.143729286151,0.0,8.18584444996,0.997300944669,0.301289401429,0.988888888889,0.281862745098,0.0,4.20377706137,0.0111111111111,0.0,0.0,7,0.0
1.0,0.289215686275,0.233296841469,0.0,7.86471648637,0.968579234973,0.503004327582,0.908045977011,0.289215686275,0.0,4.24654838552,0.0862068965517,0.0,0.00574712643678,8,0.0
1.0,0.292892156863,0.224971946495,0.0,8.01258020664,0.995260663507,0.310264077426,0.984126984127,0.292892156863,0.0,4.43892030563,0.015873015873,0.0,0.0,9,0.0
1.0,0.300245098039,0.215453914269,0.0,7.84445153628,0.975698663426,0.436253362885,0.95530726257,0.300245098039,0.0,4.47342927701,0.0335195530726,0.0,0.0111731843575,10,0.0
1.0,0.311274509804,0.201247784062,0.0,8.05902772916,0.993047508691,0.315776121631,0.989795918367,0.311274509804,0.0,4.60249763461,0.00510204081633,0.0,0.00510204081633,11,0.0
1.0,0.308823529412,0.201496992332,0.0,8.18726155311,0.991686460808,0.273006391993,0.960674157303,0.308823529412,0.0,4.68727670645,0.0393258426966,0.0,0.0,12,0.0
1.0,0.316176470588,0.0659797063243,0.0,2.27335725775,0.9991600168,0.284075838928,0.990521327014,0.316176470588,0.0,1.40900991112,0.00947867298578,0.0,0.0,13,0.0
1.0,0.316176470588,0.215196087466,0.0,8.14134303868,1.0,0.267165040077,1.0,0.316176470588,0.0,4.69946858228,0.0,0.0,0.0,14,0.0
1.0,0.316176470588,0.231757083814,0.0,8.08022793668,0.393393393393,4.58430626507,0.371134020619,0.316176470588,0.0,5.99507399311,0.0103092783505,0.0,0.618556701031,15,0.0
1.0,0.316176470588,0.204800974438,0.0,7.62245575442,0.853377265239,1.27855435714,0.725490196078,0.316176470588,0.0,4.88630459053,0.183006535948,0.0,0.0915032679739,16,0.0
1.0,0.314950980392,0.209817754782,0.0,7.56937135962,0.912181303116,0.871412715961,0.859550561798,0.314950980392,0.0,4.77498031878,0.101123595506,0.0,0.0393258426966,17,0.0
1.0,0.178921568627,0.215049351302,0.0,7.51922438174,0.790170132325,1.68103261444,0.712328767123,0.178921568627,0.0,5.13511170665,0.102739726027,0.0,0.184931506849,18,0.0
1.0,0.31862745098,0.216040043831,0.0,6.48238715906,0.738095238095,1.97355886863,0.625954198473,0.31862745098,0.0,4.79840177304,0.198473282443,0.0,0.175572519084,19,0.0
1.0,0.321078431373,0.22651004213,0.0,7.02452245617,0.594387755102,3.04043697235,0.537735849057,0.321078431373,0.0,5.47874316256,0.179245283019,0.0,0.283018867925,20,0.0
