GenGoal_frac_High rewards,Outer_Success,Outer_iter,GenGoal_frac_Low rewards,Outer_MeanRewards,GenGoal_frac_Performance Variation,GenGoal_frac_Other,GenGoal_frac_Good goals
0.013333333333333334,0.10784313725490194,1,0.6933333333333334,-1897.0935136401463,0.0,0.0,0.29333333333333333
0.023333333333333334,0.14583333333333331,2,0.66,-1601.7238799298461,0.0,0.0,0.31666666666666665
0.03,0.16176470588235295,3,0.6766666666666666,-1360.1090101836508,0.0,0.0,0.29333333333333333
0.08666666666666667,0.2340686274509804,4,0.59,-1291.2052819809294,0.0,0.0,0.3233333333333333
0.05,0.21078431372549017,5,0.5766666666666667,-1273.248410030263,0.0,0.0,0.37333333333333335
0.056666666666666664,0.2267156862745098,6,0.64,-1274.6346591915242,0.0,0.0,0.30333333333333334
0.15333333333333332,0.30514705882352944,7,0.5466666666666666,-1247.0577448643198,0.0,0.0,0.3
0.14333333333333334,0.27696078431372545,8,0.5833333333333334,-1224.2424440059585,0.0,0.0,0.2733333333333333
0.39666666666666667,0.4313725490196078,9,0.47,-1151.537112490556,0.0,0.0,0.13333333333333333
0.32,0.4166666666666666,10,0.53,-1145.332496435285,0.0,0.0,0.15
0.43333333333333335,0.43995098039215685,11,0.49333333333333335,-1120.52292920742,0.0,0.0,0.07333333333333333
0.3333333333333333,0.3946078431372549,12,0.5166666666666667,-1132.2930388746126,0.0,0.0,0.15
0.32,0.41666666666666663,13,0.5233333333333333,-1123.6867804868139,0.0,0.0,0.15666666666666668
0.33666666666666667,0.44362745098039214,14,0.5433333333333333,-1104.208957856036,0.0,0.0,0.12
0.4033333333333333,0.4509803921568627,15,0.5333333333333333,-1118.0613094197415,0.0,0.0,0.06333333333333334
0.49,0.471813725490196,16,0.45,-1099.5521815143784,0.0,0.0,0.06
0.4033333333333333,0.45465686274509803,17,0.5133333333333333,-1154.297692812499,0.0,0.0,0.08333333333333333
0.4533333333333333,0.4767156862745098,18,0.52,-1118.6228714018516,0.0,0.0,0.02666666666666667
0.44333333333333336,0.4644607843137254,19,0.51,-1126.6292482600384,0.0,0.0,0.04666666666666667
0.45,0.46078431372549017,20,0.5166666666666667,-1133.4357224082512,0.0,0.0,0.03333333333333333
0.48333333333333334,0.4754901960784313,21,0.4633333333333333,-1121.832149457818,0.0,0.0,0.05333333333333334
0.42,0.4730392156862745,22,0.5333333333333333,-1129.6758543730316,0.0,0.0,0.04666666666666667
