GenGoal_frac_Other,GenGoal_frac_Performance Variation,Outer_iter,GenGoal_frac_Low rewards,GenGoal_frac_Good goals,GenGoal_frac_High rewards,Outer_MeanRewards,Outer_Success
0.0,0.0,47,0.24333333333333335,0.016666666666666666,0.74,0.7181372549019608,0.7181372549019608
0.0,0.0,48,0.24,0.1,0.66,0.6936274509803922,0.6936274509803922
0.0,0.0,49,0.2733333333333333,0.04,0.6866666666666666,0.7242647058823529,0.7242647058823529
0.0,0.0,50,0.25666666666666665,0.05333333333333334,0.69,0.7009803921568628,0.7009803921568628
0.0,0.0,51,0.22333333333333333,0.03333333333333333,0.7433333333333333,0.7218137254901961,0.7218137254901961
0.0,0.0,52,0.25666666666666665,0.03666666666666667,0.7066666666666667,0.7193627450980392,0.7193627450980392
0.0,0.0,53,0.21666666666666667,0.04,0.7433333333333333,0.7071078431372548,0.7071078431372548
0.0,0.0,54,0.23,0.12333333333333334,0.6466666666666666,0.6862745098039216,0.6862745098039216
0.0,0.0,55,0.21,0.04,0.75,0.7132352941176471,0.7132352941176471
0.0,0.0,56,0.22333333333333333,0.04,0.7366666666666667,0.7193627450980392,0.7193627450980392
0.0,0.0,57,0.26666666666666666,0.06333333333333334,0.67,0.7279411764705882,0.7279411764705882
0.0,0.0,58,0.19666666666666666,0.03666666666666667,0.7666666666666667,0.7242647058823529,0.7242647058823529
0.0,0.0,59,0.22,0.056666666666666664,0.7233333333333334,0.7352941176470589,0.7352941176470589
0.0,0.0,60,0.19333333333333333,0.06333333333333334,0.7433333333333333,0.7438725490196078,0.7438725490196078
0.0,0.0,61,0.14,0.03666666666666667,0.8233333333333334,0.7647058823529411,0.7647058823529411
0.0,0.0,62,0.19333333333333333,0.03,0.7766666666666666,0.758578431372549,0.758578431372549
0.0,0.0,63,0.16333333333333333,0.05333333333333334,0.7833333333333333,0.7720588235294118,0.7720588235294118
0.0,0.0,64,0.18333333333333332,0.03,0.7866666666666666,0.803921568627451,0.803921568627451
0.0,0.0,65,0.15666666666666668,0.006666666666666667,0.8366666666666667,0.8051470588235294,0.8051470588235294
0.0,0.0,66,0.12333333333333334,0.02,0.8566666666666667,0.8174019607843137,0.8174019607843137
0.0,0.0,67,0.13333333333333333,0.03666666666666667,0.83,0.7855392156862746,0.7855392156862746
0.0,0.0,68,0.12666666666666668,0.013333333333333334,0.86,0.8223039215686275,0.8223039215686275
0.0,0.0,69,0.16,0.05,0.79,0.7696078431372549,0.7696078431372549
0.0,0.0,70,0.17,0.0033333333333333335,0.8266666666666667,0.8223039215686275,0.8223039215686275
0.0,0.0,71,0.13333333333333333,0.01,0.8566666666666667,0.8308823529411766,0.8308823529411766
0.0,0.0,72,0.15,0.01,0.84,0.8272058823529411,0.8272058823529411
0.0,0.0,73,0.11,0.01,0.88,0.829656862745098,0.829656862745098
0.0,0.0,74,0.14,0.013333333333333334,0.8466666666666667,0.8382352941176471,0.8382352941176471
0.0,0.0,75,0.15,0.02,0.83,0.8308823529411766,0.8308823529411766
0.0,0.0,76,0.15333333333333332,0.013333333333333334,0.8333333333333334,0.840686274509804,0.840686274509804
0.0,0.0,77,0.14333333333333334,0.02,0.8366666666666667,0.8419117647058824,0.8419117647058824
0.0,0.0,78,0.18,0.006666666666666667,0.8133333333333334,0.8480392156862745,0.8480392156862745
0.0,0.0,79,0.17,0.0,0.83,0.8541666666666666,0.8541666666666666
0.0,0.0,80,0.10666666666666667,0.016666666666666666,0.8766666666666667,0.8553921568627452,0.8553921568627452
0.0,0.0,81,0.12333333333333334,0.0033333333333333335,0.8733333333333333,0.8602941176470589,0.8602941176470589
0.0,0.0,82,0.12,0.013333333333333334,0.8666666666666667,0.8566176470588235,0.8566176470588235
0.0,0.0,83,0.11,0.006666666666666667,0.8833333333333333,0.8553921568627451,0.8553921568627451
0.0,0.0,84,0.14333333333333334,0.023333333333333334,0.8333333333333334,0.8566176470588235,0.8566176470588235
0.0,0.0,85,0.13333333333333333,0.01,0.8566666666666667,0.8578431372549019,0.8578431372549019
0.0,0.0,86,0.1,0.013333333333333334,0.8866666666666667,0.8651960784313726,0.8651960784313726
0.0,0.0,87,0.13,0.03333333333333333,0.8366666666666667,0.8443627450980391,0.8443627450980391
0.0,0.0,88,0.15333333333333332,0.01,0.8366666666666667,0.8553921568627452,0.8553921568627452
0.0,0.0,89,0.14666666666666667,0.023333333333333334,0.83,0.8529411764705882,0.8529411764705882
0.0,0.0,90,0.12666666666666668,0.006666666666666667,0.8666666666666667,0.8737745098039217,0.8737745098039217
0.0,0.0,91,0.13333333333333333,0.013333333333333334,0.8533333333333334,0.8590686274509804,0.8590686274509804
0.0,0.0,92,0.14333333333333334,0.02,0.8366666666666667,0.8602941176470589,0.8602941176470589
0.0,0.0,93,0.17666666666666667,0.0,0.8233333333333334,0.8541666666666666,0.8541666666666666
0.0,0.0,94,0.19,0.02,0.79,0.8174019607843137,0.8174019607843137
0.0,0.0,95,0.17,0.013333333333333334,0.8166666666666667,0.8112745098039217,0.8112745098039217
0.0,0.0,96,0.12333333333333334,0.03666666666666667,0.84,0.8112745098039217,0.8112745098039217
0.0,0.0,97,0.14333333333333334,0.01,0.8466666666666667,0.8174019607843137,0.8174019607843137
0.0,0.0,98,0.15,0.023333333333333334,0.8266666666666667,0.821078431372549,0.821078431372549
0.0,0.0,99,0.16,0.03333333333333333,0.8066666666666666,0.8014705882352942,0.8014705882352942
0.0,0.0,100,0.14333333333333334,0.02,0.8366666666666667,0.8125,0.8125
0.0,0.0,101,0.13333333333333333,0.016666666666666666,0.85,0.8161764705882353,0.8161764705882353
0.0,0.0,102,0.14666666666666667,0.03,0.8233333333333334,0.8088235294117647,0.8088235294117647
0.0,0.0,103,0.17,0.03333333333333333,0.7966666666666666,0.7892156862745099,0.7892156862745099
0.0,0.0,104,0.15,0.013333333333333334,0.8366666666666667,0.8112745098039216,0.8112745098039216
0.0,0.0,105,0.15333333333333332,0.02,0.8266666666666667,0.8125,0.8125
0.0,0.0,106,0.13333333333333333,0.02666666666666667,0.84,0.8357843137254901,0.8357843137254901
0.0,0.0,107,0.16333333333333333,0.013333333333333334,0.8233333333333334,0.8455882352941176,0.8455882352941176
0.0,0.0,108,0.11666666666666667,0.016666666666666666,0.8666666666666667,0.8394607843137255,0.8394607843137255
0.0,0.0,109,0.19,0.06333333333333334,0.7466666666666667,0.8174019607843137,0.8174019607843137
0.0,0.0,110,0.14666666666666667,0.03,0.8233333333333334,0.8321078431372548,0.8321078431372548
0.0,0.0,111,0.12,0.03666666666666667,0.8433333333333334,0.8553921568627451,0.8553921568627451
0.0,0.0,112,0.07,0.006666666666666667,0.9233333333333333,0.8884803921568628,0.8884803921568628
0.0,0.0,113,0.11666666666666667,0.02,0.8633333333333333,0.8443627450980391,0.8443627450980391
0.0,0.0,114,0.14666666666666667,0.02666666666666667,0.8266666666666667,0.8382352941176471,0.8382352941176471
0.0,0.0,115,0.15,0.02666666666666667,0.8233333333333334,0.8406862745098039,0.8406862745098039
0.0,0.0,116,0.16666666666666666,0.016666666666666666,0.8166666666666667,0.8419117647058824,0.8419117647058824
0.0,0.0,117,0.18333333333333332,0.023333333333333334,0.7933333333333333,0.8419117647058824,0.8419117647058824
0.0,0.0,118,0.15,0.09333333333333334,0.7566666666666667,0.8259803921568627,0.8259803921568627
0.0,0.0,119,0.15,0.013333333333333334,0.8366666666666667,0.8419117647058824,0.8419117647058824
0.0,0.0,120,0.19333333333333333,0.02666666666666667,0.78,0.8272058823529411,0.8272058823529411
0.0,0.0,121,0.12666666666666668,0.013333333333333334,0.86,0.8345588235294118,0.8345588235294118
0.0,0.0,122,0.11666666666666667,0.023333333333333334,0.86,0.8394607843137255,0.8394607843137255
0.0,0.0,123,0.13333333333333333,0.06,0.8066666666666666,0.8137254901960783,0.8137254901960783
0.0,0.0,124,0.13666666666666666,0.016666666666666666,0.8466666666666667,0.8431372549019607,0.8431372549019607
0.0,0.0,125,0.10666666666666667,0.07666666666666666,0.8166666666666667,0.8198529411764706,0.8198529411764706
0.0,0.0,126,0.14,0.06,0.8,0.821078431372549,0.821078431372549
0.0,0.0,127,0.13666666666666666,0.09,0.7733333333333333,0.8149509803921569,0.8149509803921569
0.0,0.0,128,0.15666666666666668,0.02666666666666667,0.8166666666666667,0.8406862745098039,0.8406862745098039
0.0,0.0,129,0.14,0.03333333333333333,0.8266666666666667,0.8394607843137254,0.8394607843137254
0.0,0.0,130,0.13333333333333333,0.023333333333333334,0.8433333333333334,0.8468137254901961,0.8468137254901961
0.0,0.0,131,0.11666666666666667,0.0033333333333333335,0.88,0.8529411764705882,0.8529411764705882
0.0,0.0,132,0.14,0.02,0.84,0.8443627450980393,0.8443627450980393
0.0,0.0,133,0.12,0.02666666666666667,0.8533333333333334,0.8394607843137255,0.8394607843137255
0.0,0.0,134,0.14,0.05333333333333334,0.8066666666666666,0.8247549019607843,0.8247549019607843
0.0,0.0,135,0.12333333333333334,0.006666666666666667,0.87,0.8382352941176471,0.8382352941176471
0.0,0.0,136,0.15333333333333332,0.03333333333333333,0.8133333333333334,0.8345588235294118,0.8345588235294118
0.0,0.0,137,0.15333333333333332,0.023333333333333334,0.8233333333333334,0.8357843137254901,0.8357843137254901
0.0,0.0,138,0.13333333333333333,0.013333333333333334,0.8533333333333334,0.8553921568627451,0.8553921568627451
0.0,0.0,139,0.11666666666666667,0.013333333333333334,0.87,0.8602941176470589,0.8602941176470589
0.0,0.0,140,0.09666666666666666,0.0033333333333333335,0.9,0.8602941176470589,0.8602941176470589
0.0,0.0,141,0.11,0.013333333333333334,0.8766666666666667,0.8517156862745098,0.8517156862745098
0.0,0.0,142,0.12333333333333334,0.01,0.8666666666666667,0.8394607843137254,0.8394607843137254
0.0,0.0,143,0.16,0.02,0.82,0.8321078431372549,0.8321078431372549
0.0,0.0,144,0.15333333333333332,0.043333333333333335,0.8033333333333333,0.8272058823529411,0.8272058823529411
0.0,0.0,145,0.13666666666666666,0.03333333333333333,0.83,0.8443627450980392,0.8443627450980392
0.0,0.0,146,0.12,0.01,0.87,0.8480392156862746,0.8480392156862746
0.0,0.0,147,0.1,0.023333333333333334,0.8766666666666667,0.8431372549019608,0.8431372549019608
0.0,0.0,148,0.10333333333333333,0.02,0.8766666666666667,0.8529411764705882,0.8529411764705882
0.0,0.0,149,0.13333333333333333,0.02,0.8466666666666667,0.8517156862745099,0.8517156862745099
0.0,0.0,150,0.12666666666666668,0.023333333333333334,0.85,0.8553921568627452,0.8553921568627452
0.0,0.0,151,0.14333333333333334,0.0033333333333333335,0.8533333333333334,0.8578431372549019,0.8578431372549019
0.0,0.0,152,0.11666666666666667,0.01,0.8733333333333333,0.8651960784313726,0.8651960784313726
0.0,0.0,153,0.09333333333333334,0.03,0.8766666666666667,0.8627450980392157,0.8627450980392157
0.0,0.0,154,0.09,0.013333333333333334,0.8966666666666666,0.8762254901960783,0.8762254901960783
0.0,0.0,155,0.10333333333333333,0.043333333333333335,0.8533333333333334,0.8737745098039217,0.8737745098039217
0.0,0.0,156,0.10333333333333333,0.04,0.8566666666666667,0.8713235294117647,0.8713235294117647
0.0,0.0,157,0.11666666666666667,0.02666666666666667,0.8566666666666667,0.8762254901960783,0.8762254901960783
0.0,0.0,158,0.09,0.02,0.89,0.8786764705882353,0.8786764705882353
