GenGoal_frac_High rewards,Outer_iter,Outer_Success,GenGoal_frac_Performance Variation,GenGoal_frac_Good goals,GenGoal_frac_Low rewards,GenGoal_frac_Other,Outer_MeanRewards
0.01,1,0.007352941176470588,0.0,0.0,0.99,0.0,0.007352941176470588
0.006666666666666667,2,0.03308823529411765,0.0,0.06333333333333334,0.93,0.0,0.03308823529411765
0.01,3,0.02573529411764705,0.0,0.06333333333333334,0.9266666666666666,0.0,0.02573529411764705
0.013333333333333334,4,0.03676470588235294,0.0,0.06333333333333334,0.9233333333333333,0.0,0.03676470588235294
0.01,5,0.01838235294117647,0.0,0.02,0.97,0.0,0.01838235294117647
0.01,6,0.011029411764705883,0.0,0.016666666666666666,0.9733333333333334,0.0,0.011029411764705883
0.013333333333333334,7,0.01838235294117647,0.0,0.02,0.9666666666666667,0.0,0.01838235294117647
0.013333333333333334,8,0.014705882352941175,0.0,0.013333333333333334,0.9733333333333334,0.0,0.014705882352941175
0.04,9,0.05024509803921568,0.0,0.09666666666666666,0.8633333333333333,0.0,0.05024509803921568
0.006666666666666667,10,0.012254901960784312,0.0,0.0033333333333333335,0.99,0.0,0.012254901960784312
0.01,11,0.00980392156862745,0.0,0.02,0.97,0.0,0.00980392156862745
0.0,12,0.013480392156862744,0.0,0.03333333333333333,0.9666666666666667,0.0,0.013480392156862744
0.0033333333333333335,13,0.013480392156862744,0.0,0.03333333333333333,0.9633333333333334,0.0,0.013480392156862744
0.023333333333333334,14,0.011029411764705883,0.0,0.0,0.9766666666666667,0.0,0.011029411764705883
0.006666666666666667,15,0.015931372549019607,0.0,0.02,0.9733333333333334,0.0,0.015931372549019607
0.01,16,0.0588235294117647,0.0,0.10666666666666667,0.8833333333333333,0.0,0.0588235294117647
0.016666666666666666,17,0.07965686274509803,0.0,0.19333333333333333,0.79,0.0,0.07965686274509803
0.013333333333333334,18,0.08578431372549018,0.0,0.13333333333333333,0.8533333333333334,0.0,0.08578431372549018
0.023333333333333334,19,0.024509803921568627,0.0,0.02,0.9566666666666667,0.0,0.024509803921568627
0.02,20,0.0588235294117647,0.0,0.08666666666666667,0.8933333333333333,0.0,0.0588235294117647
0.016666666666666666,21,0.03553921568627451,0.0,0.05,0.9333333333333333,0.0,0.03553921568627451
0.02,22,0.00980392156862745,0.0,0.0033333333333333335,0.9766666666666667,0.0,0.00980392156862745
0.023333333333333334,23,0.09681372549019607,0.0,0.15,0.8266666666666667,0.0,0.09681372549019607
0.05,24,0.10171568627450979,0.0,0.15666666666666668,0.7933333333333333,0.0,0.10171568627450979
0.01,25,0.07475490196078431,0.0,0.09666666666666666,0.8933333333333333,0.0,0.07475490196078431
0.03,26,0.06495098039215685,0.0,0.11666666666666667,0.8533333333333334,0.0,0.06495098039215685
0.03666666666666667,27,0.08946078431372548,0.0,0.14333333333333334,0.82,0.0,0.08946078431372548
0.03333333333333333,28,0.10661764705882353,0.0,0.18666666666666668,0.78,0.0,0.10661764705882353
0.023333333333333334,29,0.11151960784313723,0.0,0.21333333333333335,0.7633333333333333,0.0,0.11151960784313723
0.016666666666666666,30,0.08578431372549018,0.0,0.20333333333333334,0.78,0.0,0.08578431372549018
0.02,31,0.12622549019607843,0.0,0.21,0.77,0.0,0.12622549019607843
0.03,32,0.1875,0.0,0.2966666666666667,0.6733333333333333,0.0,0.1875
0.03,33,0.09558823529411764,0.0,0.13,0.84,0.0,0.09558823529411764
0.03666666666666667,34,0.16299019607843135,0.0,0.33,0.6333333333333333,0.0,0.16299019607843135
0.05333333333333334,35,0.1924019607843137,0.0,0.2866666666666667,0.66,0.0,0.1924019607843137
0.04666666666666667,36,0.14338235294117646,0.0,0.29,0.6633333333333333,0.0,0.14338235294117646
0.03666666666666667,37,0.15441176470588236,0.0,0.31333333333333335,0.65,0.0,0.15441176470588236
0.05333333333333334,38,0.16299019607843135,0.0,0.36333333333333334,0.5833333333333334,0.0,0.16299019607843135
0.06,39,0.18995098039215685,0.0,0.33,0.61,0.0,0.18995098039215685
0.043333333333333335,40,0.22181372549019607,0.0,0.38666666666666666,0.57,0.0,0.22181372549019607
0.04,41,0.24142156862745096,0.0,0.38666666666666666,0.5733333333333334,0.0,0.24142156862745096
0.05333333333333334,42,0.20955882352941177,0.0,0.42,0.5266666666666666,0.0,0.20955882352941177
0.03,43,0.16299019607843135,0.0,0.3933333333333333,0.5766666666666667,0.0,0.16299019607843135
0.03333333333333333,44,0.21323529411764702,0.0,0.42,0.5466666666666666,0.0,0.21323529411764702
0.06666666666666667,45,0.23406862745098037,0.0,0.43666666666666665,0.49666666666666665,0.0,0.23406862745098037
0.05,46,0.20955882352941174,0.0,0.38,0.57,0.0,0.20955882352941174
0.043333333333333335,47,0.204656862745098,0.0,0.39666666666666667,0.56,0.0,0.204656862745098
0.04666666666666667,48,0.21446078431372548,0.0,0.4166666666666667,0.5366666666666666,0.0,0.21446078431372548
0.04,49,0.1997549019607843,0.0,0.36333333333333334,0.5966666666666667,0.0,0.1997549019607843
0.03666666666666667,50,0.2071078431372549,0.0,0.4533333333333333,0.51,0.0,0.2071078431372549
0.06,51,0.2512254901960784,0.0,0.42333333333333334,0.5166666666666667,0.0,0.2512254901960784
0.11,52,0.30514705882352944,0.0,0.48333333333333334,0.4066666666666667,0.0,0.30514705882352944
0.1,53,0.26838235294117646,0.0,0.5033333333333333,0.39666666666666667,0.0,0.26838235294117646
0.1,54,0.3333333333333333,0.0,0.4633333333333333,0.43666666666666665,0.0,0.3333333333333333
0.10333333333333333,55,0.3075980392156863,0.0,0.44666666666666666,0.45,0.0,0.3075980392156863
0.09333333333333334,56,0.35661764705882354,0.0,0.47333333333333333,0.43333333333333335,0.0,0.35661764705882354
0.10666666666666667,57,0.329656862745098,0.0,0.48333333333333334,0.41,0.0,0.329656862745098
0.17333333333333334,58,0.36764705882352944,0.0,0.4533333333333333,0.37333333333333335,0.0,0.36764705882352944
0.22666666666666666,59,0.4632352941176471,0.0,0.4266666666666667,0.3466666666666667,0.0,0.4632352941176471
0.44333333333333336,60,0.5257352941176471,0.0,0.21333333333333335,0.3433333333333333,0.0,0.5257352941176471
0.27,61,0.4963235294117647,0.0,0.34,0.39,0.0,0.4963235294117647
0.48333333333333334,62,0.6029411764705882,0.0,0.16333333333333333,0.35333333333333333,0.0,0.6029411764705882
0.5733333333333334,63,0.6139705882352942,0.0,0.1,0.32666666666666666,0.0,0.6139705882352942
0.5633333333333334,64,0.6262254901960783,0.0,0.13,0.30666666666666664,0.0,0.6262254901960783
0.59,65,0.6507352941176471,0.0,0.08333333333333333,0.32666666666666666,0.0,0.6507352941176471
0.5533333333333333,66,0.6360294117647058,0.0,0.10666666666666667,0.34,0.0,0.6360294117647058
0.69,67,0.6495098039215685,0.0,0.04,0.27,0.0,0.6495098039215685
0.6333333333333333,68,0.6397058823529411,0.0,0.08,0.2866666666666667,0.0,0.6397058823529411
0.5633333333333334,69,0.6348039215686275,0.0,0.11666666666666667,0.32,0.0,0.6348039215686275
