OnStarts_MeanPathDistance,OnStarts_AvgInitGoalDistance,OnStarts_MinFinalGoalDistance,OnStarts_SuccessRate,OnStarts_FeasibilityRate,OnStarts_AvgFinalGoalDistance,OnStarts_AvgTotalRewardInner,OnStarts_AvgTotalRewardDist,GenGoal_frac_Performance Variation,GenGoal_frac_Low rewards,GenGoal_frac_Good goals,GenGoal_frac_Other,GenGoal_frac_High rewards,Outer_Success,Outer_iter,Outer_MeanRewards
0.403271427254,0.182529635654,0.0120567163794,0.911320754717,1.0,0.551886329031,0.0,0.0,0.0,0.0,0.167512690355,0.0,0.832487309645,0.106617647059,1,0.106617647059
0.268673121081,0.234637439262,0.0107892624515,0.99012543368,1.0,0.235471527961,0.0,0.0,0.0,0.0,0.151219512195,0.0,0.848780487805,0.112745098039,2,0.112745098039
0.295004903161,0.284942994712,0.0114963068622,0.996697688382,1.0,0.226817653935,0.0,0.0,0.0,0.0,0.0436893203883,0.0,0.956310679612,0.109068627451,3,0.109068627451
0.28882315797,0.310456381281,0.0245957905326,0.999248402856,1.0,0.228160418636,0.0,0.0,0.0,0.0,0.019512195122,0.0,0.980487804878,0.0894607843137,4,0.0894607843137
0.330174928809,0.378290509178,0.0194696550647,0.999643430201,1.0,0.248663979444,0.0,0.0,0.0,0.0,0.00970873786408,0.0,0.990291262136,0.102941176471,5,0.102941176471
0.352129954603,0.413802952564,0.0383906533681,1.0,1.0,0.253661228633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.390931372549,6,0.390931372549
0.366870104138,0.436961202979,0.0219360049459,1.0,1.0,0.253235302019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.40318627451,7,0.40318627451
0.397613542391,0.481331433683,0.0260261986078,1.0,1.0,0.258739307159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.414215686275,8,0.414215686275
0.424549303859,0.51786063693,0.0488773678741,1.0,1.0,0.268158264376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.397058823529,9,0.397058823529
0.434718310882,0.532616528235,0.0539440821043,1.0,1.0,0.270133241249,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.394607843137,10,0.394607843137
0.459802556407,0.570947350288,0.0407625276039,1.0,1.0,0.272127752775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.395833333333,11,0.395833333333
