Outer_iter,Outer_MeanRewards,Outer_Success,GenGoal_frac_Good goals,GenGoal_frac_Performance Variation,GenGoal_frac_Low rewards,GenGoal_frac_Other,GenGoal_frac_High rewards
1,0.008578431372549019,0.008578431372549019,0.016666666666666666,0.0,0.9833333333333333,0.0,0.0
2,0.007352941176470588,0.007352941176470588,0.0033333333333333335,0.0,0.99,0.0,0.006666666666666667
3,0.008578431372549019,0.008578431372549019,0.006666666666666667,0.0,0.9833333333333333,0.0,0.01
4,0.007352941176470588,0.007352941176470588,0.006666666666666667,0.0,0.9766666666666667,0.0,0.016666666666666666
5,0.011029411764705883,0.011029411764705883,0.01,0.0,0.9866666666666667,0.0,0.0033333333333333335
6,0.029411764705882353,0.029411764705882353,0.04666666666666667,0.0,0.9466666666666667,0.0,0.006666666666666667
7,0.08578431372549018,0.08578431372549018,0.13,0.0,0.8166666666666667,0.0,0.05333333333333334
8,0.17034313725490194,0.17034313725490194,0.03,0.0,0.7866666666666666,0.0,0.18333333333333332
9,0.15563725490196076,0.15563725490196076,0.043333333333333335,0.0,0.7966666666666666,0.0,0.16
10,0.0661764705882353,0.0661764705882353,0.08666666666666667,0.0,0.8666666666666667,0.0,0.04666666666666667
11,0.10784313725490195,0.10784313725490195,0.11666666666666667,0.0,0.8366666666666667,0.0,0.04666666666666667
12,0.0784313725490196,0.0784313725490196,0.13,0.0,0.8433333333333334,0.0,0.02666666666666667
13,0.11519607843137254,0.11519607843137254,0.09333333333333334,0.0,0.8233333333333334,0.0,0.08333333333333333
14,0.15931372549019607,0.15931372549019607,0.08,0.0,0.77,0.0,0.15
15,0.19607843137254902,0.19607843137254902,0.09,0.0,0.7433333333333333,0.0,0.16666666666666666
16,0.11397058823529412,0.11397058823529412,0.16666666666666666,0.0,0.77,0.0,0.06333333333333334
17,0.22549019607843135,0.22549019607843135,0.11,0.0,0.7166666666666667,0.0,0.17333333333333334
18,0.2536764705882352,0.2536764705882352,0.15333333333333332,0.0,0.6066666666666667,0.0,0.24
19,0.37990196078431376,0.37990196078431376,0.09666666666666666,0.0,0.53,0.0,0.37333333333333335
20,0.46813725490196084,0.46813725490196084,0.05,0.0,0.47333333333333333,0.0,0.4766666666666667
21,0.4656862745098039,0.4656862745098039,0.07666666666666666,0.0,0.4666666666666667,0.0,0.45666666666666667
22,0.5024509803921569,0.5024509803921569,0.07,0.0,0.4666666666666667,0.0,0.4633333333333333
23,0.5367647058823529,0.5367647058823529,0.043333333333333335,0.0,0.41333333333333333,0.0,0.5433333333333333
24,0.5220588235294118,0.5220588235294118,0.056666666666666664,0.0,0.35333333333333333,0.0,0.59
25,0.5490196078431373,0.5490196078431373,0.06333333333333334,0.0,0.33666666666666667,0.0,0.6
26,0.5919117647058824,0.5919117647058824,0.04,0.0,0.35333333333333333,0.0,0.6066666666666667
27,0.5894607843137254,0.5894607843137254,0.04,0.0,0.3566666666666667,0.0,0.6033333333333334
28,0.5821078431372548,0.5821078431372548,0.05333333333333334,0.0,0.3,0.0,0.6466666666666666
29,0.6102941176470589,0.6102941176470589,0.03,0.0,0.36,0.0,0.61
30,0.5882352941176471,0.5882352941176471,0.023333333333333334,0.0,0.3466666666666667,0.0,0.63
31,0.6139705882352942,0.6139705882352942,0.02666666666666667,0.0,0.35,0.0,0.6233333333333333
32,0.625,0.625,0.03,0.0,0.29,0.0,0.68
33,0.5870098039215687,0.5870098039215687,0.12333333333333334,0.0,0.35,0.0,0.5266666666666666
