GenGoal_frac_Good goals,Outer_MeanRewards,GenGoal_frac_High rewards,GenGoal_frac_Other,Outer_iter,GenGoal_frac_Performance Variation,GenGoal_frac_Low rewards,Outer_Success
0.09666666666666666,0.0428921568627451,0.01,0.0,1,0.0,0.8933333333333333,0.0428921568627451
0.14666666666666667,0.0661764705882353,0.01,0.0,2,0.0,0.8433333333333334,0.0661764705882353
0.09,0.03553921568627451,0.0033333333333333335,0.0,3,0.0,0.9066666666666666,0.03553921568627451
0.05333333333333334,0.023284313725490193,0.0033333333333333335,0.0,4,0.0,0.9433333333333334,0.023284313725490193
0.07666666666666666,0.026960784313725488,0.006666666666666667,0.0,5,0.0,0.9166666666666666,0.026960784313725488
0.21,0.10906862745098038,0.03666666666666667,0.0,6,0.0,0.7533333333333333,0.10906862745098038
0.20333333333333334,0.16299019607843135,0.1,0.0,7,0.0,0.6966666666666667,0.16299019607843135
0.12333333333333334,0.07107843137254902,0.016666666666666666,0.0,8,0.0,0.86,0.07107843137254902
0.33,0.16789215686274506,0.04666666666666667,0.0,9,0.0,0.6233333333333333,0.16789215686274506
0.32666666666666666,0.30759803921568624,0.12333333333333334,0.0,10,0.0,0.55,0.30759803921568624
0.3566666666666667,0.267156862745098,0.12666666666666668,0.0,11,0.0,0.5166666666666667,0.267156862745098
0.21333333333333335,0.38602941176470584,0.3566666666666667,0.0,12,0.0,0.43,0.38602941176470584
0.04666666666666667,0.4767156862745098,0.48,0.0,13,0.0,0.47333333333333333,0.4767156862745098
0.08333333333333333,0.49387254901960775,0.47,0.0,14,0.0,0.44666666666666666,0.49387254901960775
0.08,0.5294117647058824,0.5933333333333334,0.0,15,0.0,0.32666666666666666,0.5294117647058824
0.04666666666666667,0.5477941176470589,0.5433333333333333,0.0,16,0.0,0.41,0.5477941176470589
0.06333333333333334,0.5857843137254901,0.6533333333333333,0.0,17,0.0,0.2833333333333333,0.5857843137254901
0.06666666666666667,0.6409313725490196,0.6733333333333333,0.0,18,0.0,0.26,0.6409313725490196
0.05333333333333334,0.6899509803921569,0.6933333333333334,0.0,19,0.0,0.25333333333333335,0.6899509803921569
0.12,0.6568627450980392,0.5866666666666667,0.0,20,0.0,0.29333333333333333,0.6568627450980392
0.043333333333333335,0.7058823529411765,0.6833333333333333,0.0,21,0.0,0.2733333333333333,0.7058823529411765
0.06,0.7107843137254901,0.6533333333333333,0.0,22,0.0,0.2866666666666667,0.7107843137254901
0.04666666666666667,0.6924019607843137,0.68,0.0,23,0.0,0.2733333333333333,0.6924019607843137
0.06,0.7144607843137254,0.71,0.0,24,0.0,0.23,0.7144607843137254
0.08666666666666667,0.704656862745098,0.6666666666666666,0.0,25,0.0,0.24666666666666667,0.704656862745098
0.03333333333333333,0.7389705882352942,0.73,0.0,26,0.0,0.23666666666666666,0.7389705882352942
0.06,0.7818627450980393,0.7333333333333333,0.0,27,0.0,0.20666666666666667,0.7818627450980393
0.09,0.7794117647058824,0.78,0.0,28,0.0,0.13,0.7794117647058824
0.06666666666666667,0.767156862745098,0.7966666666666666,0.0,29,0.0,0.13666666666666666,0.767156862745098
0.09,0.7769607843137254,0.7633333333333333,0.0,30,0.0,0.14666666666666667,0.7769607843137254
0.06333333333333334,0.7830882352941176,0.8133333333333334,0.0,31,0.0,0.12333333333333334,0.7830882352941176
0.07,0.7745098039215685,0.7866666666666666,0.0,32,0.0,0.14333333333333334,0.7745098039215685
0.09,0.7732843137254902,0.7566666666666667,0.0,33,0.0,0.15333333333333332,0.7732843137254902
0.1,0.7757352941176471,0.7733333333333333,0.0,34,0.0,0.12666666666666668,0.7757352941176471
0.04666666666666667,0.7794117647058824,0.8033333333333333,0.0,35,0.0,0.15,0.7794117647058824
0.06,0.7659313725490196,0.8033333333333333,0.0,36,0.0,0.13666666666666666,0.7659313725490196
0.13333333333333333,0.7732843137254901,0.74,0.0,37,0.0,0.12666666666666668,0.7732843137254901
0.08333333333333333,0.7916666666666667,0.7966666666666666,0.0,38,0.0,0.12,0.7916666666666667
0.04,0.810049019607843,0.8666666666666667,0.0,39,0.0,0.09333333333333334,0.810049019607843
0.02666666666666667,0.8210784313725491,0.87,0.0,40,0.0,0.10333333333333333,0.8210784313725491
0.06333333333333334,0.8026960784313725,0.8533333333333334,0.0,41,0.0,0.08333333333333333,0.8026960784313725
0.02666666666666667,0.8174019607843137,0.8466666666666667,0.0,42,0.0,0.12666666666666668,0.8174019607843137
