Outer_iter,Outer_MeanRewards,Outer_Success,GenGoal_frac_Other,GenGoal_frac_Low rewards,GenGoal_frac_Good goals,GenGoal_frac_High rewards,GenGoal_frac_Performance Variation
1,-2037.8888135509114,0.10416666666666666,0.0,0.72,0.25,0.03,0.0
2,-1628.0293578574003,0.23039215686274508,0.0,0.6366666666666667,0.23333333333333334,0.13,0.0
3,-1433.1188907118362,0.29901960784313725,0.0,0.5766666666666667,0.2733333333333333,0.15,0.0
4,-1260.3061423816732,0.38725490196078427,0.0,0.55,0.16333333333333333,0.2866666666666667,0.0
5,-1231.5213160196265,0.39705882352941174,0.0,0.52,0.15333333333333332,0.32666666666666666,0.0
6,-1236.7035739807648,0.3480392156862745,0.0,0.53,0.25666666666666665,0.21333333333333335,0.0
7,-1205.2885214310413,0.4791666666666666,0.0,0.45,0.07333333333333333,0.4766666666666667,0.0
8,-1158.234940081067,0.5,0.0,0.47333333333333333,0.006666666666666667,0.52,0.0
9,-1148.2475357842097,0.5134803921568627,0.0,0.42333333333333334,0.006666666666666667,0.57,0.0
10,-1148.1639192192324,0.5159313725490196,0.0,0.4166666666666667,0.0033333333333333335,0.58,0.0
11,-1124.1519425432423,0.4963235294117647,0.0,0.53,0.023333333333333334,0.44666666666666666,0.0
12,-1113.386330437328,0.5110294117647058,0.0,0.4666666666666667,0.0033333333333333335,0.53,0.0
13,-1076.4446291983306,0.5183823529411765,0.0,0.45666666666666667,0.0033333333333333335,0.54,0.0
14,-1117.7357552999374,0.5147058823529411,0.0,0.47,0.0033333333333333335,0.5266666666666666,0.0
15,-1108.4323119315115,0.5134803921568627,0.0,0.51,0.016666666666666666,0.47333333333333333,0.0
16,-1106.5526747082695,0.5257352941176471,0.0,0.4266666666666667,0.016666666666666666,0.5566666666666666,0.0
17,-1086.1053720344237,0.4571078431372549,0.0,0.48333333333333334,0.07666666666666666,0.44,0.0
18,-1144.6114081981484,0.42892156862745096,0.0,0.52,0.09333333333333334,0.38666666666666666,0.0
19,-1102.6293684740922,0.46568627450980393,0.0,0.5533333333333333,0.056666666666666664,0.39,0.0
20,-1147.7913777492636,0.3860294117647059,0.0,0.56,0.2,0.24,0.0
21,-1155.3625869224597,0.3517156862745098,0.0,0.5833333333333334,0.13333333333333333,0.2833333333333333,0.0
22,-1114.8099331437238,0.463235294117647,0.0,0.5533333333333333,0.08333333333333333,0.36333333333333334,0.0
23,-1116.6088981119415,0.4264705882352941,0.0,0.57,0.043333333333333335,0.38666666666666666,0.0
24,-1100.6641543779465,0.44485294117647056,0.0,0.49666666666666665,0.05333333333333334,0.45,0.0
25,-1083.0304082763537,0.4522058823529412,0.0,0.5066666666666667,0.04666666666666667,0.44666666666666666,0.0
26,-1096.8406292891116,0.4387254901960784,0.0,0.5466666666666666,0.056666666666666664,0.39666666666666667,0.0
27,-1105.0255919637502,0.43995098039215685,0.0,0.5533333333333333,0.06333333333333334,0.38333333333333336,0.0
28,-1135.6526851237,0.4252450980392157,0.0,0.5566666666666666,0.03333333333333333,0.41,0.0
29,-1184.9787299308236,0.4105392156862745,0.0,0.5833333333333334,0.07,0.3466666666666667,0.0
30,-1128.920304411985,0.4485294117647059,0.0,0.5566666666666666,0.023333333333333334,0.42,0.0
31,-1147.387484189532,0.4387254901960784,0.0,0.5666666666666667,0.04,0.3933333333333333,0.0
32,-1241.7180713367775,0.3737745098039215,0.0,0.5766666666666667,0.09,0.3333333333333333,0.0
33,-1207.2460496499561,0.3370098039215686,0.0,0.6266666666666667,0.14666666666666667,0.22666666666666666,0.0
34,-1157.6354526829773,0.4117647058823529,0.0,0.5833333333333334,0.06666666666666667,0.35,0.0
35,-1116.2114949333063,0.4387254901960784,0.0,0.5266666666666666,0.07666666666666666,0.39666666666666667,0.0
36,-1127.7075952170912,0.44730392156862747,0.0,0.5133333333333333,0.05,0.43666666666666665,0.0
37,-1133.8330265449279,0.45955882352941174,0.0,0.47,0.05,0.48,0.0
38,-1102.4147082979591,0.4387254901960784,0.0,0.5266666666666666,0.07,0.4033333333333333,0.0
39,-1092.7122602037907,0.45588235294117646,0.0,0.54,0.04666666666666667,0.41333333333333333,0.0
40,-1107.9822163861381,0.42524509803921573,0.0,0.52,0.1,0.38,0.0
41,-1102.7191885520597,0.44362745098039214,0.0,0.5633333333333334,0.03,0.4066666666666667,0.0
42,-1139.8667023243893,0.4338235294117647,0.0,0.5633333333333334,0.02,0.4166666666666667,0.0
43,-1101.6979912094312,0.44730392156862747,0.0,0.5333333333333333,0.02666666666666667,0.44,0.0
44,-1098.2876993259008,0.45955882352941174,0.0,0.5333333333333333,0.03666666666666667,0.43,0.0
45,-1088.8972960818853,0.4620098039215686,0.0,0.51,0.043333333333333335,0.44666666666666666,0.0
46,-1097.1525512954215,0.4730392156862745,0.0,0.5966666666666667,0.043333333333333335,0.36,0.0
47,-1127.8878770207866,0.4754901960784314,0.0,0.4633333333333333,0.04,0.49666666666666665,0.0
48,-1110.1588147886239,0.4705882352941176,0.0,0.5333333333333333,0.03,0.43666666666666665,0.0
49,-1074.1411496239116,0.45588235294117646,0.0,0.5366666666666666,0.04,0.42333333333333334,0.0
50,-1070.6528598392958,0.45710784313725494,0.0,0.54,0.08,0.38,0.0
51,-1078.0620867219031,0.43504901960784315,0.0,0.5166666666666667,0.08333333333333333,0.4,0.0
52,-1081.5037044661535,0.44485294117647056,0.0,0.5166666666666667,0.07666666666666666,0.4066666666666667,0.0
53,-1087.1850462182017,0.45955882352941174,0.0,0.54,0.03666666666666667,0.42333333333333334,0.0
54,-1140.8161152068474,0.4632352941176471,0.0,0.5133333333333333,0.01,0.4766666666666667,0.0
55,-1125.988445721008,0.4644607843137255,0.0,0.5366666666666666,0.03,0.43333333333333335,0.0
56,-1087.43220001174,0.45955882352941174,0.0,0.5133333333333333,0.07666666666666666,0.41,0.0
57,-1079.0288691020173,0.46813725490196073,0.0,0.5033333333333333,0.03,0.4666666666666667,0.0
58,-1097.2678156542477,0.4117647058823529,0.0,0.56,0.12,0.32,0.0
59,-1080.720248189313,0.4276960784313725,0.0,0.49666666666666665,0.04666666666666667,0.45666666666666667,0.0
