GenGoal_frac_Other,Outer_MeanRewards,GenGoal_frac_High rewards,GenGoal_frac_Low rewards,Outer_Success,GenGoal_frac_Good goals,GenGoal_frac_Performance Variation,Outer_iter
0.0,-1841.261082347649,0.11333333333333333,0.6966666666666667,0.16299019607843135,0.19,0.0,1
0.0,-1423.671139644425,0.08,0.58,0.2230392156862745,0.34,0.0,2
0.0,-1351.3604928025898,0.08666666666666667,0.49333333333333335,0.23651960784313725,0.42,0.0,3
0.0,-1251.4208445779398,0.39,0.49,0.44240196078431365,0.12,0.0,4
0.0,-1244.0887121921517,0.37333333333333335,0.5266666666666666,0.43382352941176466,0.1,0.0,5
0.0,-1188.99189358845,0.4166666666666667,0.49333333333333335,0.4387254901960784,0.09,0.0,6
0.0,-1310.9379838785735,0.3433333333333333,0.5466666666666666,0.41911764705882354,0.11,0.0,7
0.0,-1158.373739686185,0.5433333333333333,0.4533333333333333,0.5012254901960784,0.0033333333333333335,0.0,8
0.0,-1127.9276392702475,0.42333333333333334,0.4866666666666667,0.46936274509803916,0.09,0.0,9
0.0,-1143.81717454618,0.32,0.52,0.33333333333333337,0.16,0.0,10
0.0,-1127.0289040474104,0.4033333333333333,0.49333333333333335,0.43137254901960786,0.10333333333333333,0.0,11
0.0,-1144.6391002027312,0.4533333333333333,0.44333333333333336,0.45343137254901955,0.10333333333333333,0.0,12
0.0,-1161.28658050088,0.2833333333333333,0.5733333333333334,0.4007352941176471,0.14333333333333334,0.0,13
0.0,-1122.8067764358332,0.3233333333333333,0.5333333333333333,0.42769607843137253,0.14333333333333334,0.0,14
0.0,-1146.3103466913346,0.3,0.5733333333333334,0.39460784313725483,0.12666666666666668,0.0,15
0.0,-1129.3357922218556,0.44666666666666666,0.5,0.44485294117647056,0.05333333333333334,0.0,16
0.0,-1127.6998551240308,0.38,0.56,0.4264705882352941,0.06,0.0,17
0.0,-1181.9646015269807,0.35333333333333333,0.48,0.40808823529411764,0.16666666666666666,0.0,18
0.0,-1145.0539620230222,0.45666666666666667,0.5133333333333333,0.4865196078431372,0.03,0.0,19
0.0,-1131.5291128551737,0.42,0.49333333333333335,0.45955882352941174,0.08666666666666667,0.0,20
0.0,-1117.456462345413,0.5,0.5,0.502450980392157,0.0,0.0,21
0.0,-1085.5463907618182,0.49333333333333335,0.5066666666666667,0.49264705882352944,0.0,0.0,22
0.0,-1094.1250636958284,0.44666666666666666,0.5133333333333333,0.4583333333333333,0.04,0.0,23
0.0,-1134.4513813068097,0.4066666666666667,0.51,0.4313725490196078,0.08333333333333333,0.0,24
0.0,-1137.8469302905175,0.42333333333333334,0.56,0.4632352941176471,0.016666666666666666,0.0,25
0.0,-1104.1511052628055,0.46,0.5366666666666666,0.49142156862745107,0.0033333333333333335,0.0,26
0.0,-1084.8496277563318,0.45,0.5433333333333333,0.4828431372549019,0.006666666666666667,0.0,27
0.0,-1093.6136984398195,0.49666666666666665,0.49333333333333335,0.4852941176470588,0.01,0.0,28
0.0,-1091.5918284051425,0.5133333333333333,0.4766666666666667,0.49509803921568635,0.01,0.0,29
0.0,-1079.6829529748622,0.47333333333333333,0.5233333333333333,0.49142156862745096,0.0033333333333333335,0.0,30
0.0,-1085.4046720097172,0.49333333333333335,0.5,0.4865196078431372,0.006666666666666667,0.0,31
0.0,-1071.5756042429653,0.5366666666666666,0.45666666666666667,0.5134803921568628,0.006666666666666667,0.0,32
0.0,-1091.542173539781,0.5266666666666666,0.4666666666666667,0.5122549019607843,0.006666666666666667,0.0,33
0.0,-1102.3963197761584,0.54,0.44333333333333336,0.5110294117647058,0.016666666666666666,0.0,34
0.0,-1105.9672771695664,0.4866666666666667,0.51,0.517156862745098,0.0033333333333333335,0.0,35
0.0,-1092.2795465466208,0.5066666666666667,0.49333333333333335,0.5049019607843137,0.0,0.0,36
0.0,-1072.0442800043256,0.49333333333333335,0.5033333333333333,0.5073529411764706,0.0033333333333333335,0.0,37
0.0,-1093.695930186783,0.5033333333333333,0.49333333333333335,0.508578431372549,0.0033333333333333335,0.0,38
0.0,-1091.2376919822545,0.4866666666666667,0.5133333333333333,0.49142156862745096,0.0,0.0,39
0.0,-1096.0298609397514,0.49333333333333335,0.5066666666666667,0.48774509803921573,0.0,0.0,40
0.0,-1068.3643596420754,0.5033333333333333,0.49333333333333335,0.5049019607843137,0.0033333333333333335,0.0,41
0.0,-1075.4754532432669,0.4633333333333333,0.4766666666666667,0.4901960784313725,0.06,0.0,42
0.0,-1086.2981250394175,0.55,0.44,0.5,0.01,0.0,43
0.0,-1109.1494593153343,0.5133333333333333,0.4866666666666667,0.5061274509803921,0.0,0.0,44
0.0,-1090.3675923241117,0.56,0.44,0.5245098039215687,0.0,0.0,45
0.0,-1085.8822208742151,0.48,0.5166666666666667,0.5061274509803922,0.0033333333333333335,0.0,46
0.0,-1084.3898430143474,0.51,0.49,0.5073529411764706,0.0,0.0,47
0.0,-1067.2335385692938,0.4866666666666667,0.51,0.49264705882352944,0.0033333333333333335,0.0,48
0.0,-1055.2915519081241,0.51,0.49,0.502450980392157,0.0,0.0,49
0.0,-1057.6409574682652,0.5033333333333333,0.49666666666666665,0.49142156862745107,0.0,0.0,50
0.0,-1055.0275926782024,0.5566666666666666,0.43333333333333335,0.5036764705882353,0.01,0.0,51
0.0,-1074.5942814408259,0.46,0.51,0.4791666666666667,0.03,0.0,52
0.0,-1082.6761904417751,0.48333333333333334,0.5133333333333333,0.49754901960784315,0.0033333333333333335,0.0,53
0.0,-1089.8297129720474,0.5333333333333333,0.4666666666666667,0.5049019607843137,0.0,0.0,54
0.0,-1155.135324918983,0.5133333333333333,0.47,0.5110294117647058,0.016666666666666666,0.0,55
0.0,-1104.0943748466734,0.5233333333333333,0.4533333333333333,0.5110294117647058,0.023333333333333334,0.0,56
0.0,-1112.2085305734033,0.44666666666666666,0.5,0.5024509803921569,0.05333333333333334,0.0,57
0.0,-1110.0829739633539,0.41333333333333333,0.49333333333333335,0.4656862745098039,0.09333333333333334,0.0,58
0.0,-1103.8494198356211,0.5166666666666667,0.45666666666666667,0.5012254901960783,0.02666666666666667,0.0,59
0.0,-1079.7642311911086,0.5633333333333334,0.43666666666666665,0.5122549019607843,0.0,0.0,60
0.0,-1058.7462658190796,0.5,0.48333333333333334,0.5245098039215685,0.016666666666666666,0.0,61
0.0,-1092.1708408881946,0.5433333333333333,0.45,0.517156862745098,0.006666666666666667,0.0,62
0.0,-1074.2236613816247,0.5,0.43666666666666665,0.5073529411764706,0.06333333333333334,0.0,63
0.0,-1072.6050347626067,0.5866666666666667,0.41,0.5220588235294118,0.0033333333333333335,0.0,64
0.0,-1088.0521080977585,0.4766666666666667,0.51,0.5159313725490196,0.013333333333333334,0.0,65
0.0,-1100.8359843075996,0.54,0.45,0.5196078431372548,0.01,0.0,66
0.0,-1103.9264909820101,0.47333333333333333,0.52,0.5061274509803921,0.006666666666666667,0.0,67
0.0,-1102.137744310314,0.42333333333333334,0.5266666666666666,0.482843137254902,0.05,0.0,68
0.0,-1098.2028307537953,0.44666666666666666,0.5166666666666667,0.46936274509803916,0.03666666666666667,0.0,69
0.0,-1072.033502082709,0.5066666666666667,0.4866666666666667,0.5,0.006666666666666667,0.0,70
0.0,-1105.240741606323,0.4533333333333333,0.5433333333333333,0.49264705882352944,0.0033333333333333335,0.0,71
0.0,-1089.0719282752918,0.49,0.5066666666666667,0.49142156862745107,0.0033333333333333335,0.0,72
0.0,-1093.6800735369914,0.4766666666666667,0.49666666666666665,0.4754901960784313,0.02666666666666667,0.0,73
0.0,-1074.5525217548832,0.5133333333333333,0.48,0.48774509803921573,0.006666666666666667,0.0,74
0.0,-1098.7708202075587,0.47333333333333333,0.5166666666666667,0.471813725490196,0.01,0.0,75
0.0,-1085.5298663478072,0.4866666666666667,0.51,0.48161764705882354,0.0033333333333333335,0.0,76
0.0,-1083.239348034411,0.45666666666666667,0.5333333333333333,0.4865196078431372,0.01,0.0,77
0.0,-1073.2451086695596,0.46,0.5266666666666666,0.49387254901960775,0.013333333333333334,0.0,78
0.0,-1074.848089401987,0.48,0.52,0.4877450980392157,0.0,0.0,79
0.0,-1076.7130120579495,0.4766666666666667,0.5166666666666667,0.48406862745098034,0.006666666666666667,0.0,80
0.0,-1096.6691137031662,0.49,0.48333333333333334,0.4963235294117647,0.02666666666666667,0.0,81
0.0,-1087.2535981038843,0.48,0.5133333333333333,0.5159313725490197,0.006666666666666667,0.0,82
0.0,-1082.8057723286483,0.5033333333333333,0.49333333333333335,0.49509803921568624,0.0033333333333333335,0.0,83
0.0,-1085.2645128292293,0.49666666666666665,0.49333333333333335,0.5036764705882353,0.01,0.0,84
0.0,-1105.314010712019,0.49333333333333335,0.5,0.5134803921568627,0.006666666666666667,0.0,85
0.0,-1082.6284853735115,0.49666666666666665,0.5033333333333333,0.49142156862745107,0.0,0.0,86
0.0,-1088.5624228654958,0.47,0.52,0.5049019607843137,0.01,0.0,87
0.0,-1101.238314012015,0.5166666666666667,0.47,0.4975490196078431,0.013333333333333334,0.0,88
0.0,-1113.6564629942247,0.5266666666666666,0.4633333333333333,0.534313725490196,0.01,0.0,89
0.0,-1133.0086436251254,0.6233333333333333,0.37333333333333335,0.5306372549019607,0.0033333333333333335,0.0,90
0.0,-1103.9368270900065,0.5166666666666667,0.4766666666666667,0.5269607843137254,0.006666666666666667,0.0,91
0.0,-1097.3141610447367,0.47333333333333333,0.51,0.5024509803921569,0.016666666666666666,0.0,92
0.0,-1103.2881209438563,0.5133333333333333,0.48,0.49142156862745096,0.006666666666666667,0.0,93
0.0,-1133.150597996996,0.49666666666666665,0.49666666666666665,0.5036764705882353,0.006666666666666667,0.0,94
0.0,-1120.0348241118083,0.5266666666666666,0.46,0.5110294117647058,0.013333333333333334,0.0,95
0.0,-1127.7698239012439,0.53,0.4166666666666667,0.49142156862745096,0.05333333333333334,0.0,96
0.0,-1119.3643234027822,0.37666666666666665,0.5933333333333334,0.4889705882352941,0.03,0.0,97
0.0,-1106.951487560271,0.5033333333333333,0.44333333333333336,0.4975490196078431,0.05333333333333334,0.0,98
0.0,-1081.482891508594,0.5066666666666667,0.4633333333333333,0.5122549019607843,0.03,0.0,99
0.0,-1080.052269564427,0.39,0.52,0.454656862745098,0.09,0.0,100
0.0,-1084.3498366516583,0.4266666666666667,0.5,0.4620098039215686,0.07333333333333333,0.0,101
0.0,-1087.5020779746853,0.30666666666666664,0.5133333333333333,0.3897058823529412,0.18,0.0,102
0.0,-1064.3600722422098,0.35,0.5533333333333333,0.4338235294117647,0.09666666666666666,0.0,103
0.0,-1055.4647734910866,0.37,0.5466666666666666,0.471813725490196,0.08333333333333333,0.0,104
0.0,-1051.147494199009,0.45666666666666667,0.47,0.4742647058823529,0.07333333333333333,0.0,105
0.0,-1060.9722004604137,0.38333333333333336,0.4866666666666667,0.4362745098039215,0.13,0.0,106
0.0,-1068.3543574670202,0.36666666666666664,0.56,0.47058823529411764,0.07333333333333333,0.0,107
0.0,-1075.0000468776861,0.42333333333333334,0.5033333333333333,0.4411764705882353,0.07333333333333333,0.0,108
0.0,-1057.4868468856012,0.3933333333333333,0.56,0.45955882352941174,0.04666666666666667,0.0,109
0.0,-1054.113071231115,0.4033333333333333,0.49666666666666665,0.471813725490196,0.1,0.0,110
0.0,-1072.287911174188,0.5233333333333333,0.44333333333333336,0.49264705882352944,0.03333333333333333,0.0,111
0.0,-1057.0322363401606,0.4633333333333333,0.5066666666666667,0.4730392156862745,0.03,0.0,112
0.0,-1070.0844898805349,0.4533333333333333,0.48,0.48406862745098045,0.06666666666666667,0.0,113
0.0,-1047.0722532088553,0.46,0.49,0.5147058823529411,0.05,0.0,114
0.0,-1048.9456358452996,0.42,0.49,0.4754901960784314,0.09,0.0,115
0.0,-1076.707735580895,0.4533333333333333,0.47333333333333333,0.5245098039215685,0.07333333333333333,0.0,116
