GenGoal_frac_Other,Outer_iter,GenGoal_frac_Good goals,GenGoal_frac_Low rewards,Outer_Success,Outer_MeanRewards,GenGoal_frac_Performance Variation,GenGoal_frac_High rewards
0.0,1,0.15666666666666668,0.8133333333333334,0.08088235294117647,0.08088235294117647,0.0,0.03
0.0,2,0.056666666666666664,0.9333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.01
0.0,3,0.0,0.9833333333333333,0.00980392156862745,0.00980392156862745,0.0,0.016666666666666666
0.0,4,0.013333333333333334,0.9766666666666667,0.00980392156862745,0.00980392156862745,0.0,0.01
0.0,5,0.0,0.99,0.011029411764705883,0.011029411764705883,0.0,0.01
0.0,6,0.0033333333333333335,0.9866666666666667,0.012254901960784312,0.012254901960784312,0.0,0.01
0.0,7,0.006666666666666667,0.9866666666666667,0.00857843137254902,0.00857843137254902,0.0,0.006666666666666667
0.0,8,0.0,0.9933333333333333,0.008578431372549019,0.008578431372549019,0.0,0.006666666666666667
0.0,9,0.0033333333333333335,0.99,0.00980392156862745,0.00980392156862745,0.0,0.006666666666666667
0.0,10,0.006666666666666667,0.9666666666666667,0.008578431372549019,0.008578431372549019,0.0,0.02666666666666667
0.0,11,0.0033333333333333335,0.9866666666666667,0.007352941176470588,0.007352941176470588,0.0,0.01
0.0,12,0.0033333333333333335,0.9833333333333333,0.007352941176470588,0.007352941176470588,0.0,0.013333333333333334
0.0,13,0.0,0.9866666666666667,0.007352941176470588,0.007352941176470588,0.0,0.013333333333333334
0.0,14,0.0033333333333333335,0.9833333333333333,0.007352941176470588,0.007352941176470588,0.0,0.013333333333333334
0.0,15,0.01,0.9666666666666667,0.007352941176470588,0.007352941176470588,0.0,0.023333333333333334
0.0,16,0.013333333333333334,0.97,0.012254901960784312,0.012254901960784312,0.0,0.016666666666666666
0.0,17,0.01,0.9866666666666667,0.00980392156862745,0.00980392156862745,0.0,0.0033333333333333335
0.0,18,0.0033333333333333335,0.98,0.007352941176470588,0.007352941176470588,0.0,0.016666666666666666
0.0,19,0.0,0.9933333333333333,0.007352941176470588,0.007352941176470588,0.0,0.006666666666666667
0.0,20,0.0033333333333333335,0.99,0.007352941176470588,0.007352941176470588,0.0,0.006666666666666667
0.0,21,0.0033333333333333335,0.9866666666666667,0.00857843137254902,0.00857843137254902,0.0,0.01
0.0,22,0.0,0.99,0.007352941176470588,0.007352941176470588,0.0,0.01
0.0,23,0.0,0.9866666666666667,0.007352941176470588,0.007352941176470588,0.0,0.013333333333333334
0.0,24,0.0033333333333333335,0.9833333333333333,0.00980392156862745,0.00980392156862745,0.0,0.013333333333333334
0.0,25,0.0,0.9966666666666667,0.00980392156862745,0.00980392156862745,0.0,0.0033333333333333335
0.0,26,0.0,0.9833333333333333,0.008578431372549019,0.008578431372549019,0.0,0.016666666666666666
0.0,27,0.006666666666666667,0.9933333333333333,0.011029411764705883,0.011029411764705883,0.0,0.0
0.0,28,0.006666666666666667,0.9833333333333333,0.011029411764705883,0.011029411764705883,0.0,0.01
0.0,29,0.006666666666666667,0.99,0.011029411764705883,0.011029411764705883,0.0,0.0033333333333333335
0.0,30,0.0,0.9766666666666667,0.007352941176470588,0.007352941176470588,0.0,0.023333333333333334
0.0,31,0.0,0.98,0.007352941176470588,0.007352941176470588,0.0,0.02
0.0,32,0.0,0.9933333333333333,0.007352941176470588,0.007352941176470588,0.0,0.006666666666666667
0.0,33,0.0,0.98,0.007352941176470588,0.007352941176470588,0.0,0.02
0.0,34,0.0,0.9833333333333333,0.007352941176470588,0.007352941176470588,0.0,0.016666666666666666
0.0,35,0.0033333333333333335,0.9766666666666667,0.007352941176470588,0.007352941176470588,0.0,0.02
0.0,36,0.0,0.9833333333333333,0.007352941176470588,0.007352941176470588,0.0,0.016666666666666666
0.0,37,0.0,0.9833333333333333,0.007352941176470588,0.007352941176470588,0.0,0.016666666666666666
0.0,38,0.0,0.9933333333333333,0.007352941176470588,0.007352941176470588,0.0,0.006666666666666667
0.0,39,0.0,0.9833333333333333,0.007352941176470588,0.007352941176470588,0.0,0.016666666666666666
0.0,40,0.0,0.99,0.007352941176470588,0.007352941176470588,0.0,0.01
0.0,41,0.0,0.9933333333333333,0.007352941176470588,0.007352941176470588,0.0,0.006666666666666667
0.0,42,0.0,0.9933333333333333,0.007352941176470588,0.007352941176470588,0.0,0.006666666666666667
0.0,43,0.0,0.99,0.007352941176470588,0.007352941176470588,0.0,0.01
0.0,44,0.0,0.9866666666666667,0.007352941176470588,0.007352941176470588,0.0,0.013333333333333334
0.0,45,0.0,0.9866666666666667,0.007352941176470588,0.007352941176470588,0.0,0.013333333333333334
0.0,46,0.0,0.99,0.007352941176470588,0.007352941176470588,0.0,0.01
0.0,47,0.0,0.99,0.007352941176470588,0.007352941176470588,0.0,0.01
0.0,48,0.0,0.99,0.007352941176470588,0.007352941176470588,0.0,0.01
