Outer_Success,OnStarts_SuccessRate,GenGoal_frac_Other,OnStarts_AvgTotalRewardInner,OnStarts_AvgInitGoalDistance,GenGoal_frac_High rewards,OnStarts_MeanPathDistance,Outer_MeanRewards,GenGoal_frac_Low rewards,GenGoal_frac_Good goals,OnStarts_MinFinalGoalDistance,GenGoal_frac_Performance Variation,OnStarts_AvgFinalGoalDistance,OnStarts_AvgTotalRewardDist,OnStarts_FeasibilityRate,Outer_iter
0.115196078431,0.916631038906,0.0,0.0,0.203988500488,0.826530612245,0.251024903556,0.115196078431,0.00510204081633,0.168367346939,0.0100010088076,0.0,0.240984212453,0.0,1.0,1
0.208333333333,0.819870759289,0.0,0.0,0.259279053355,0.718592964824,0.372961864585,0.208333333333,0.0904522613065,0.190954773869,0.0125196037534,0.0,0.378538236823,0.0,1.0,2
0.031862745098,0.82693877551,0.0,0.0,0.314065929036,0.7,0.411190041609,0.031862745098,0.095,0.205,0.0135351258497,0.0,0.395340056513,0.0,1.0,3
0.0428921568627,0.752027809965,0.0,0.0,0.377405858118,0.668421052632,0.512869440048,0.0428921568627,0.152631578947,0.178947368421,0.0466494493357,0.0,0.491156572381,0.0,1.0,4
0.299019607843,0.945147679325,0.0,0.0,0.441078392656,0.770731707317,0.41924546854,0.299019607843,0.0,0.229268292683,0.0343155438085,0.0,0.313123689966,0.0,1.0,5
0.317401960784,0.999791144528,0.0,0.0,0.470314733953,0.995215311005,0.395408830031,0.317401960784,0.0,0.00478468899522,0.0161302431804,0.0,0.263032511481,0.0,1.0,6
0.31862745098,1.0,0.0,0.0,0.513918805497,1.0,0.421345764978,0.31862745098,0.0,0.0,0.0888747997597,0.0,0.270961440289,0.0,1.0,7
0.328431372549,1.0,0.0,0.0,0.523229705337,1.0,0.428169574754,0.328431372549,0.0,0.0,0.0451301947449,0.0,0.274288781374,0.0,1.0,8
0.31862745098,1.0,0.0,0.0,0.549153586622,1.0,0.446249715743,0.31862745098,0.0,0.0,0.115442401778,0.0,0.276482239399,0.0,1.0,9
0.321078431373,1.0,0.0,0.0,0.559642060378,1.0,0.453393824656,0.321078431373,0.0,0.0,0.0656885945002,0.0,0.275977838821,0.0,1.0,10
0.387254901961,1.0,0.0,0.0,0.580731568406,1.0,0.465148090961,0.387254901961,0.0,0.0,0.0479454873151,0.0,0.269371490672,0.0,1.0,11
0.359068627451,1.0,0.0,0.0,0.588407083533,1.0,0.469735085723,0.359068627451,0.0,0.0,0.065773516968,0.0,0.267415664385,0.0,1.0,12
0.348039215686,1.0,0.0,0.0,0.595927041068,1.0,0.475616545811,0.348039215686,0.0,0.0,0.0174849020269,0.0,0.268672506787,0.0,1.0,13
0.324754901961,1.0,0.0,0.0,0.601934398631,1.0,0.479174591792,0.324754901961,0.0,0.0,0.0287595651624,0.0,0.26759393614,0.0,1.0,14
0.325980392157,1.0,0.0,0.0,0.584870803262,1.0,0.468301371128,0.325980392157,0.0,0.0,0.0318189007696,0.0,0.268886786053,0.0,1.0,15
0.382352941176,1.0,0.0,0.0,0.637229199524,1.0,0.502670163099,0.382352941176,0.0,0.0,0.0340986277025,0.0,0.272854476479,0.0,1.0,16
0.392156862745,1.0,0.0,0.0,0.614885384416,1.0,0.488273568341,0.392156862745,0.0,0.0,0.0361415512656,0.0,0.270811827846,0.0,1.0,17
0.395833333333,1.0,0.0,0.0,0.664762544451,1.0,0.519241144172,0.395833333333,0.0,0.0,0.0326759245395,0.0,0.269325901027,0.0,1.0,18
0.40931372549,1.0,0.0,0.0,0.686238991231,1.0,0.534895701599,0.40931372549,0.0,0.0,0.0815165472894,0.0,0.274602674278,0.0,1.0,19
0.328431372549,1.0,0.0,0.0,0.686100490814,1.0,0.534071060581,0.328431372549,0.0,0.0,0.0482145026082,0.0,0.273428425612,0.0,1.0,20
0.373774509804,1.0,0.0,0.0,0.695031735462,1.0,0.538820963032,0.373774509804,0.0,0.0,0.0254652273279,0.0,0.271855202924,0.0,1.0,21
0.324754901961,1.0,0.0,0.0,0.691451637001,1.0,0.535850929621,0.324754901961,0.0,0.0,0.023864647244,0.0,0.27014955404,0.0,1.0,22
0.379901960784,1.0,0.0,0.0,0.695404990873,1.0,0.539858319993,0.379901960784,0.0,0.0,0.0215654822408,0.0,0.274510968539,0.0,1.0,23
0.397058823529,1.0,0.0,0.0,0.700428595728,1.0,0.543021375007,0.397058823529,0.0,0.0,0.0218984857358,0.0,0.273590996271,0.0,1.0,24
0.389705882353,1.0,0.0,0.0,0.705764172084,1.0,0.546140541436,0.389705882353,0.0,0.0,0.0100490903222,0.0,0.272024617831,0.0,1.0,25
0.367647058824,1.0,0.0,0.0,0.6886265191,1.0,0.533967216246,0.367647058824,0.0,0.0,0.0246049533286,0.0,0.268454043683,0.0,1.0,26
0.388480392157,1.0,0.0,0.0,0.697232370097,1.0,0.540445232341,0.388480392157,0.0,0.0,0.0568820503243,0.0,0.271982629434,0.0,1.0,27
0.40318627451,1.0,0.0,0.0,0.677182233958,1.0,0.528732332474,0.40318627451,0.0,0.0,0.0354764448256,0.0,0.273794201369,0.0,1.0,28
0.408088235294,1.0,0.0,0.0,0.651294649795,1.0,0.511032305599,0.408088235294,0.0,0.0,0.0242999203654,0.0,0.26976230843,0.0,1.0,29
0.411764705882,1.0,0.0,0.0,0.657083499706,1.0,0.514429635864,0.411764705882,0.0,0.0,0.031069496212,0.0,0.269200654471,0.0,1.0,30
0.410539215686,1.0,0.0,0.0,0.639249523423,1.0,0.503506308499,0.410539215686,0.0,0.0,0.0581088897907,0.0,0.270865051811,0.0,1.0,31
